repository,state,closed_at,title,label,is_bug,body
greenaddress/GreenBits,closed,2017-09-15 00:52:55,Fix Trezor signing for non-segwit transactions,[],0,Based on a patch by Jeremy.
greenaddress/GreenBits,closed,2017-09-14 19:28:25,updates for getHash() exception,[],0,
greenaddress/GreenBits,closed,2017-09-14 12:32:55,Fix for mixed inputs,[],0,
greenaddress/GreenBits,closed,2018-11-26 10:56:33,show fee in fiat,[],0,"If you ""show Fiat""  the fee shows as $0 but it is 0.89c so maybe it should round to $ 0.01"
greenaddress/GreenBits,closed,2017-09-12 10:59:38,Support transaction priority and custom fees,[],0,"This enables transaction priority and custom fees, including settings defaults for both.

In order to use custom fees, RBF is enforced to be enabled to prevent a surge in support requests from stuck un=bumpable txs.

This branch includes some other minor fixes/features/enhancements for review.

Fixes #275"
greenaddress/GreenBits,closed,2017-09-11 02:36:22,More fixes,[],0,
greenaddress/GreenBits,closed,2017-09-08 12:07:00,Fiat fees and fixes,[],0,"Updates to allow toggling the amount/fees between fiat and BTC to prevent user confusion, along with various other fixes.

Note this includes #276 so will need rebasing."
greenaddress/GreenBits,closed,2017-09-08 11:57:27,Standardise and share code to prevent crashes when restoring preferences,[],0,"When connectivity is lost or the app is restored without a
service/connection, this bumps the user back to the main activity from
settings instead of crashing."
greenaddress/GreenBits,closed,2017-09-12 10:59:38,request: custom fee,[],0,"Please, add an option to set a custom fee. "
greenaddress/GreenBits,closed,2017-09-06 17:36:52,Force timeout to be minimum 1 minute,[],0,
greenaddress/GreenBits,closed,2017-09-07 19:53:27,Setting pin timeout to zero causes looping pin entry request,[],0,"If you enter zero as the timeout the app just keeps asking for your pin. There is no way to then get around this.

Suggest you don't allow 0 to be set."
greenaddress/GreenBits,closed,2017-09-06 05:05:40,Fix send max amount,[],0,
greenaddress/GreenBits,closed,2017-09-05 16:58:31,Don't crash if the SPV preferences are resumed after service death,[],0,
greenaddress/GreenBits,closed,2017-09-04 16:23:49,More Fixes,[],0,
greenaddress/GreenBits,closed,2017-08-29 02:30:26,Use BIP49 for SegWit addresses,[],0,"TREZOR and Ledger use BIP49 path for generating SegWit addresses. It would be great if GreenBits followed the suite.

See: https://github.com/bitcoin/bips/blob/master/bip-0049.mediawiki

TL;DR just replace 44 with 49 in derivation path for SegWit."
greenaddress/GreenBits,closed,2017-08-29 02:17:27,invalid phone number: unknown country code or invalid number format,[],0,"Dear Sir/Madam,

for 6 months i have my own bitcoin account and when i payed with BTC i always got my code through sms. web interface now told me my phone number was invalid. I have made multiple receive and send transactions through phone client before and I have changed nothing. I probably entered my phone number in +-country-code-and-number format or as 00-country-code-and-number. And when I was setting up my account, it didn't tell me two or more 2FA options were recommended. Now I can log in but I can't send BTC. Please help quick i need to pay important bills!

kind regarts,

Jona Smidt"
greenaddress/GreenBits,closed,2017-08-25 23:19:02,Remove duplicated permission checking code,[],0,"Also check the granted permissions to prevent crashes on broken Android
versions that don't return an array matching the one we passed."
greenaddress/GreenBits,closed,2017-08-24 14:40:22,More fixes,[],0,
greenaddress/GreenBits,closed,2017-08-23 14:42:58,Exchanger fix,[],0,
greenaddress/GreenBits,closed,2017-08-20 07:24:56,Update libs and sdk,[],0,
greenaddress/GreenBits,closed,2017-08-18 01:55:43,Prevent a crash when Android restores our fragment,[],0,
greenaddress/GreenBits,closed,2017-08-17 12:31:18,Work around an NPE when restoring,[],0,"There is an activation path that leaves the main activity alive without
creating the tab view, such that if the app is restored it attempts to
access it and NPEs.

If this occurs, instead of crashing, bounce the user back to re-login."
greenaddress/GreenBits,closed,2017-08-16 13:05:46,Don't show the two factor warning if our two factor data hasn't loaded,[],0,
greenaddress/GreenBits,closed,2017-08-12 21:07:17,Add support for manual locktime requests,[],0,Also includes a minor fix to wally fetching to use the correct java compile flags.
greenaddress/GreenBits,closed,2017-08-12 09:26:57,Fix fetch_libwally_binaries.sh to work from a fully cleaned libwally dir,[],0,Also make it more robust and able to be run from any directory.
greenaddress/GreenBits,closed,2017-08-12 00:59:07,Updates for release,[],0,A few minor updates before the next release
greenaddress/GreenBits,closed,2017-08-07 11:09:19,Update README.md,[],0,"This small and useless PR adds two buttons to get your app on F-droid and Google Play Store

Thanks for this app :)"
greenaddress/GreenBits,closed,2017-08-07 11:12:19,Update wally,[],0,"More updates for wally.

Pushing to test on the travis builds, there should be more changes to come."
greenaddress/GreenBits,closed,2017-07-13 18:26:27,Update wally,[],0,Wally updates to fix building on OSX.
greenaddress/GreenBits,closed,2017-07-12 12:44:22,Update libwally,[],0,Updates libwally to the latest Elements version and uses its build infrastructure instead of our own scripts.
greenaddress/GreenBits,closed,2017-09-01 22:27:41,I have a snapshot of my mnemonic,[],0,When it said my pin wasn't working after making several transactions in the last couple days in the in my mnemonic like it asked accept it said it need to be 24 or 26 words which mine was not that. 
greenaddress/GreenBits,closed,2017-07-02 10:53:12,Fix 2FA enablement not working due to proguard stripping,[],0,
greenaddress/GreenBits,closed,2017-07-02 10:52:54,Update wally,[],0,
greenaddress/GreenBits,closed,2017-06-28 15:33:48,Fix docker and update debian to stretch,[],0,
greenaddress/GreenBits,closed,2017-06-28 09:41:06,Don't reset fiat limits in watch only mode,[],0,This prevents a crash when logging in in watch only mode
